Dataset,Horizon,MSE_Ours,MSE_Paper,MSE_Ratio,MAE_Ours,MAE_Paper,MAE_Ratio
ETTh1,96,0.417128,0.375,1.1123,0.434560,0.395,1.1002
ETTh1,192,0.445590,0.398,1.1196,0.448770,0.413,1.0866
ETTh1,336,0.467570,0.419,1.1159,0.462049,0.424,1.0897
ETTh1,720,0.484893,0.422,1.1490,0.483009,0.440,1.0977
ETTh2,96,0.303598,0.253,1.2000,0.355962,0.325,1.0953
ETTh2,192,0.378335,0.334,1.1327,0.401611,0.374,1.0738
ETTh2,336,0.397864,0.347,1.1466,0.423604,0.389,1.0890
ETTh2,720,0.422554,0.401,1.0538,0.448561,0.425,1.0554
ETTm1,96,0.310337,0.322,0.9638,0.357153,0.357,1.0004
ETTm1,192,0.350277,0.349,1.0037,0.380355,0.375,1.0143
ETTm1,336,0.379082,0.366,1.0357,0.394524,0.387,1.0194
ETTm1,720,0.438680,0.407,1.0778,0.425325,0.412,1.0323
ETTm2,96,0.179801,0.173,1.0393,0.270370,0.261,1.0359
ETTm2,192,0.237057,0.230,1.0307,0.308163,0.302,1.0204
ETTm2,336,0.303655,0.279,1.0884,0.348351,0.332,1.0493
ETTm2,720,0.379909,0.388,0.9791,0.393575,0.400,0.9839
electricity,96,0.146656,0.142,1.0328,0.250760,0.237,1.0581
electricity,192,0.158523,0.153,1.0361,0.258791,0.249,1.0393
electricity,336,0.174937,0.175,0.9996,0.275691,0.268,1.0287
electricity,720,0.214643,0.209,1.0270,0.307941,0.300,1.0265
exchange_rate,96,0.118156,0.163,0.7249,0.251040,0.276,0.9096
exchange_rate,192,0.212315,0.229,0.9271,0.331767,0.336,0.9874
exchange_rate,336,0.375127,0.383,0.9794,0.453274,0.445,1.0186
exchange_rate,720,0.979600,0.999,0.9806,0.753421,0.738,1.0209
traffic,96,0.411645,0.396,1.0395,0.307639,0.271,1.1352
traffic,192,0.421385,0.408,1.0328,0.309092,0.279,1.1079
traffic,336,0.430592,0.427,1.0084,0.313221,0.290,1.0801
traffic,720,0.470142,0.449,1.0471,0.334125,0.310,1.0778
weather,96,0.153139,0.161,0.9512,0.208267,0.207,1.0061
weather,192,0.196043,0.208,0.9425,0.248890,0.250,0.9956
weather,336,0.248130,0.252,0.9846,0.288720,0.289,0.9990
weather,720,0.320717,0.337,0.9517,0.341054,0.348,0.9800
